subject_id,subject_name
0,Structural engineering
1,Buildings Electric equipment
2,Buildings Mechanical equipment
3,Architecture Study and teaching Alabama Hale County
4,Auburn University Department of Architecture Rural Studio
5,Auburn University Dept of Architecture Rural Studio
6,Low income housing Alabama Hale County
7,Mockbee Samuel
8,Sustainable architecture Alabama Hale County
9,Vernacular architecture Alabama Hale County
10,Architecture United States Themes motives
11,Architecture United States
12,Le Corbusier 1887 1965 Exhibitions
13,Shaker architecture
14,Shaker art
15,Shakers
16,Architecture History
17,Architecture and society History
18,Architects Washington State Seattle Biography
19,Architecture Washington State Seattle History
20,Seattle Wash Buildings structures etc
21,Architecture Forecasting
22,Architecture Postmodern
23,Deconstructivism Architecture
24,Dwellings Philippines
25,Ethnic architecture Philippines
26,Vernacular architecture Philippines
27,Architecture California Los Angeles Region 20th century
28,Architecture California Los Angeles Region History 20th century
29,Architecture Domestic California Los Angeles Region
30,Seaside architecture California Los Angeles Region
31,Gardens Design
32,Landscape architecture
33,Architecture and society History 20th century
34,Architecture Technological innovations
35,Joint occupancy of buildings
36,Rock music 1991 2000
37,Rock music 2001 2010
38,Architecture Juvenile literature
39,Architectural photography
40,Architecture
41,Architecture Ancient Databases
42,Gustafson Kathryn 1951
43,Landscape design
44,Landscape architecture Congresses
45,Art Egypt History
46,Architecture Egypt
47,Art Egyptian
48,Egypt Antiquities
49,Occultism Egypt
50,Temple of Luxor Luxor Egypt Miscellanea
51,Design
52,New Haven Conn Buildings structures etc Pictorial works
53,Rudolph Paul 1918 1997 Criticism and interpretation
54,Rudolph Paul 1918 Criticism and interpretation
55,Yale University School of Art and Architecture Buildings Pictorial works
56,Architecture Northwest Pacific 20th century
57,Architecture Northwest Pacific History 20th century
58,Vacation homes Northwest Pacific
59,Architecture Roman
60,Architecture Japan
61,Space Architecture Japan
62,Architecture Japan History To 1868
63,Architecture Japan To 1868
64,Architecture Modern 20th century
65,Architecture United States 19th century
66,Architecture United States 20th century
67,Architecture United States History 19th century
68,Architecture United States History 20th century
69,Sullivan Louis H 1856 1924
70,Architect designed houses United States
71,Beckhard Herbert
72,Beckhard Herbert Criticism and interpretation
73,Breuer Marcel 1902 1981 Criticism and interpretation
74,Breuer Marcel 1902 Criticism and interpretation
75,Architecture Domestic Northwest Pacific
76,Interior decoration Northwest Pacific
77,Ando Tadao 1941
78,Architecture Competitions
79,Pritzker Architecture Prize
80,Architecture Modern 20th century Pictorial works
81,Herzog Jacques
82,Meuron Pierre de 1950
83,Arts and crafts movement United States Exhibitions
84,Decorative arts United States Exhibitions
85,Eclecticism in architecture United States Exhibitions
86,Art History
87,Landscape architecture History
88,Civilization History
89,Landscape architects United States
90,Landscape architecture Pacific States
91,Landscape design Pacific States
92,Plazas Pacific States
93,Urban landscape architecture Pacific States
94,Brunelleschi Filippo 1377 1446
95,Domes Italy Florence Design and construction
96,Florence Italy Buildings structures etc
97,Santa Maria del Fiore Cathedral Florence Italy
98,Bird feeders Design and construction
99,Birdhouses Design and construction
100,Architectural drawing
101,Building Wooden Russia Northern
102,Architecture Great Britain
103,Architecture Victorian Great Britain
104,Ruskin John 1819 1900 Contributions in architecture
105,Nature Aesthetics
106,Organic architecture
107,Architecture Environmental aspects
108,Landscape architecture Case studies
109,Labyrinths Religious aspects
110,Architects and community United States
111,Architectural services marketing United States
112,Low income housing United States
113,Poor Housing United States
114,Art deco Architecture United States
115,Art centers California Los Angeles Designs and plans
116,Getty Center Los Angeles Calif
117,Los Angeles Calif Buildings structures etc
118,Richard Meier Partners
119,Space Architecture
120,Walls Psychological aspects
121,Architectural practice International
122,Architecture Designs and plans
123,Frank O Gehry and Associates
124,City planning
125,Koolhaas Rem
126,Mau Bruce
127,Office for Metropolitan Architecture
128,Ecological houses Exhibitions
129,Sustainable architecture Exhibitions
130,Architecture United States Encyclopedias
131,Architects United States Biography
132,Pei I M 1917
133,Pei I M 1917 2019
134,Architecture Georgian
135,Architects and community
136,Architecture Psychological aspects
137,Architecture and society
138,Color in interior decoration Case studies
139,Interior architecture Case studies
140,Architecture Domestic Arctic regions
141,Eskimo architecture
142,Eskimos Dwellings
143,Vernacular architecture Arctic regions
144,Information storage and retrieval systems Architecture
145,Web sites Design
146,Architecture Mexico
147,Art Mexican
148,Dynamics
149,Naval architecture
150,Statics
151,Architecture Spain
152,Architecture Spain 20th century
153,Architecture Spain History 20th century
154,Eclecticism in architecture Spain
155,Architectural design
156,Exhibition buildings Designs and plans
157,Exhibitions Designs and plans
158,Reinhard Edgar
159,Trade shows Designs and plans
160,High speed trains Design and construction
161,Railroad stations Design and construction
162,Architecture Modern 20th century Exhibitions
163,Koolhaas Rem Exhibitions
164,Office for Metropolitan Architecture Exhibitions
165,International style Architecture
166,Human anatomy Atlases
167,Architecture and climate California
168,Architecture California 20th century
169,Architecture California History 20th century
170,Organic architecture California
171,Wright Frank Lloyd 1867 1959 Criticism and interpretation
172,Bohlin Cywinski Jackson Firm
173,Subway stations New York State New York Design and construction Exhibitions
174,Architecture California San Francisco Guidebooks
175,Historic buildings California San Francisco Guidebooks
176,San Francisco Calif Buildings structures etc Guidebooks
177,San Francisco Calif Guidebooks
178,Architecture Domestic United States Designs and plans
179,Arts and crafts movement United States
180,Furniture Mission
181,Stickley Gustav 1858 1942
182,Aeronautics Commercial Social aspects
183,Airport buildings Design and construction
184,Airports Planning
185,Architecture Louisiana New Orleans
186,Saint Charles Avenue New Orleans La
187,Streets Louisiana New Orleans
188,Architect designed houses Mexico
189,Architecture Domestic Mexico
190,Architectural drawing 20th century Exhibitions
191,Architectural drawing New York State New York Exhibitions
192,Museum of Modern Art New York N Y Exhibitions
193,Architecture California
194,Roadside architecture California
195,Vernacular architecture California
196,Architecture Domestic Washington State Seattle
197,Olson Sundberg Kundig Allen Architects
198,Michelangelo Buonarroti 1475 1564 Catalogs
199,Architecture Aesthetics
200,Sustainable architecture
201,Internet telephony
202,Switching theory
203,Church architecture
204,Martyria
205,Mausoleums
206,Sepulchral monuments
207,Architecture Hindu
208,Art Hindu
209,Hindu architecture
210,Hindu art
211,Art India History
212,Architecture Netherlands
213,Architecture England History
214,Architecture Tropical Mauritius
215,Vernacular architecture Mauritius
216,Piano Renzo
217,Architecture Cuba Havana
218,Havana Cuba Buildings structures etc
219,Havana Cuba History
220,Buildings
221,Buildings Juvenile literature
222,Mimetic architecture United States Juvenile literature
223,Roadside architecture United States Juvenile literature
224,Architectural rendering
225,Perspective
226,Chicago Auditorium Building Chicago Ill
227,Couvent Sainte Marie de La Tourette LArbresle France
228,Pedrera Barcelona Spain
229,Architecture and energy conservation
230,Homosexuality and architecture
231,Architecture and women
232,Architecture Domestic New Mexico Taos
233,Dwellings New Mexico Taos
234,Architecture Dictionaries
235,Architecture Early works to 1800
236,Decoration and ornament Japan
237,Interior decoration Japan
238,Architecture Gothic France
239,Architecture Orders
240,Cathedrals France
241,Architecture English
242,Architecture Philosophy
243,Architecture United States 20th century Exhibitions
244,Architecture United States History 20th century Exhibitions
245,Scott Brown Denise 1931 Exhibitions
246,Venturi Robert Exhibitions
247,Venturi Scott Brown and Associates Exhibitions
248,Architecture Italy Etruria
249,Architecture Italy Rome
250,Architecture Rome
251,Architecture Europe History
252,Gardens England Design History
253,Gardens England Pictorial works
254,Gardens English History
255,Gardens English Pictorial works
256,Landscape architecture England History
257,Landscape architecture England Pictorial works
258,Royal Institute of British Architects Art collections
259,Artists United States Diaries
260,Kiesler Frederick Diaries
261,Decoration and ornament Architectural in interior decoration
262,Found objects Art in interior decoration
263,Buddhist art and symbolism Burma Pagan
264,Pagan Burma Buildings structures etc
265,Pagan Burma Civilization
266,Opera Stage setting and scenery
267,Schaal Hans Dieter 1943 Interviews
268,Theaters Stage setting and scenery
269,Building Wooden
270,Foster Norman 1935
271,Architecture Washington State History
272,Architecture West U S History
273,Architecture Yellowstone National Park History
274,Reamer Robert C Robert Chambers 1873 1938
275,Art Ancient Middle East
276,Art Middle East
277,Central America Antiquities
278,Maya architecture
279,Maya art
280,Mexico Antiquities
281,Art Roman
282,Art Modern 20th century Soviet Union Exhibitions
283,Art Soviet Exhibitions
284,Buildings in art Exhibitions
285,Conceptual art Soviet Union Exhibitions
286,Galleria Umberto I Naples Italy
287,Health resorts Switzerland Vals
288,Johnson Wax Building Racine Wis
289,Railroad stations France Lyon
290,Architecture Vocational guidance United States
291,Glass art
292,Glass construction
293,Concrete blocks
294,Concrete construction
295,Modular coordination Architecture
296,Architecture United States Japanese influences
297,Architecture Domestic United States Themes motives
298,Architecture Domestic United States Dictionaries
299,Architecture United States Dictionaries
300,Architecture Decision making
301,Architecture Human factors
302,Communication in architectural design
303,Architecture Byzantine
304,Architecture Washington State Seattle Guidebooks
305,Historic buildings Washington State Seattle Guidebooks
306,Seattle Wash Buildings structures etc Guidebooks
307,Seattle Wash Guidebooks
308,Art deco Architecture
309,Decoration and ornament Architectural
310,Animals Habitations
311,Animals Habitations Juvenile literature
312,Habitat Ecology Juvenile literature
313,Architecture Colonial
314,Architecture Domestic Massachusetts Cape Cod
315,Architecture Domestic Massachusetts Marthas Vineyard
316,Architecture Domestic Massachusetts Nantucket
317,Automobiles Social aspects California Los Angeles Metropolitan Area History
318,Central business districts California Los Angeles Metropolitan Area History
319,City and town life California Los Angeles Metropolitan Area History
320,Retail trade California Los Angeles Metropolitan Area History
321,Architects Biography
322,Women architects Biography
323,City planning History
324,Space perception
325,Architecture Classical Greece
326,Architecture Greece
327,Architecture in art Catalogs
328,National Gallery Great Britain Catalogs
329,Painting England London Catalogs
330,Painting European Catalogs
331,Flower gardening
332,Garden structures
333,Gardens Styles
334,Architecture Israel Jerusalem
335,Architecture Jerusalem
336,City planning Israel Jerusalem History
337,City planning Jerusalem History
338,Jerusalem Buildings structures etc
339,Architecture Tudor England
340,Coffee shops California Southern
341,Modern movement Architecture California Southern
342,Popular culture California Southern History 20th century
343,Roadside architecture California Southern
344,Architecture Domestic Japan
345,Architecture England London Guidebooks
346,Buildings England London Guidebooks
347,London England Buildings structures etc Guidebooks
348,London England Guidebooks
349,Ethnic architecture Africa
350,Vernacular architecture Africa
351,Aga Khan Award for Architecture Organization
352,Architecture Awards Islamic countries
353,Architecture Islamic countries 20th century
354,Architecture Islamic countries History 20th century
355,Aga Khan Award for Architecture Organization Awards
356,Architecture Islamic Awards
357,Architecture Islamic countries Awards
358,Islamic architecture Awards
359,Architecture Primitive Africa Sub Saharan
360,Vernacular architecture Africa Sub Saharan
361,Architecture and literature
362,Bataille Georges 1897 1962 Criticism and interpretation
363,Bataille Georges 1897 1962 Knowledge Architecture
364,Architecture Encyclopedias
365,Architecture Terminology
366,Architecture Composition proportion etc
367,Architecture Romanesque
368,Art Romanesque
369,Millennialism Europe
370,Richardson H H Henry Hobson 1838 1886
371,Architecture Domestic California
372,Architecture Domestic United States
373,Public housing California
374,Public housing United States
375,Homeless persons Housing
376,Shelters for the homeless United States
377,Architecture in art
378,Buildings Salvaging Illinois Chicago
379,Lost architecture Illinois Chicago
380,Nickel Richard 1972 Criticism and interpretation
